month,region,item,total_issued
2019 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),145
2019 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),260
2020 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),25
2020 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),128
2020 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2020 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2020 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2020 Jun,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2020 Jul,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2020 Aug,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2020 Sep,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),82
2020 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),65
2020 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),26
2020 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),12
2021 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2021 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Jun,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Jul,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Aug,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Sep,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2021 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Jun,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Jul,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Aug,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Sep,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2022 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),233
2022 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),537
2023 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),155
2023 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),116
2023 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),40
2023 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),27
2023 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2017 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),2800
2017 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2017 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),1895
2017 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),10
2017 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),20
2018 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),470
2018 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),1585
2018 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),225
2018 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),128
2018 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),143
2018 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),240
2018 Jul,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),473
2018 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),3704
2018 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),60
2018 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),218
2018 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),200
2018 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),241
2019 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),352
2019 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),377
2019 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),526
2019 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),359
2019 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),137
2019 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),198
2019 Jul,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),2635
2019 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),544
2019 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),13
2019 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),619
2019 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),427
2019 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),678
2020 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),2737
2020 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),520
2020 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),244
2020 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),199
2020 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),30
2020 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Jul,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2020 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Jul,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2021 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),244
2021 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),139
2021 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),237
2021 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),101
2021 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),421
2022 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),390
2022 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),381
2022 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),499
2022 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),607
2022 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),569
2022 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),891
2022 Jul,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),562
2022 Aug,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),600
2022 Sep,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),109
2022 Oct,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),20
2022 Nov,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2022 Dec,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2023 Jan,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),0
2023 Feb,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),879
2023 Mar,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),527
2023 Apr,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),552
2023 May,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),572
2023 Jun,Addis Ababa,Amoxicillin - 250mg - Tablet (Dispersible),30
2018 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,60
2018 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,150
2018 Jun,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Jul,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Aug,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Sep,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Oct,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Nov,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2018 Dec,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2019 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,150
2019 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,50
2019 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,75
2019 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,300
2019 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,160
2019 Jun,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,818
2019 Jul,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,100
2019 Aug,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,631
2019 Sep,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,0
2019 Oct,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,3680
2019 Nov,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1355
2019 Dec,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,57
2020 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,250
2020 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,885
2020 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,380
2020 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1070
2020 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,550
2020 Jun,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,496
2020 Jul,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,180
2020 Aug,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,440
2020 Sep,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,420
2020 Oct,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,358
2020 Nov,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,245
2020 Dec,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1720
2021 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,695
2021 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1100
2021 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,516
2021 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,195
2021 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,690
2021 Jun,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,200
2021 Jul,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,230
2021 Aug,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,550
2021 Sep,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,580
2021 Oct,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,830
2021 Nov,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,189
2021 Dec,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,520
2022 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,385
2022 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,640
2022 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1584
2022 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1245
2022 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,570
2022 Jun,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1186
2022 Jul,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,637
2022 Aug,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1165
2022 Sep,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1009
2022 Oct,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,2250
2022 Nov,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1065
2022 Dec,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,3200
2023 Jan,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1085
2023 Feb,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1778
2023 Mar,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,771
2023 Apr,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,1290
2023 May,Addis Ababa,Chlorhexidine digluconate - 7.1% ( which contains 4% Chlorhexidine) - Gel,620
2017 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),890
2017 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),1265
2017 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),1045
2017 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),2161
2017 Dec,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),16870
2018 Jan,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),5292
2018 Feb,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),2165
2018 Mar,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),5700
2018 Apr,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),12126
2018 May,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),20459
2018 Jun,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),7815
2018 Jul,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2018 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2018 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2018 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2018 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2018 Dec,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Jan,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Feb,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Mar,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Apr,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 May,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Jun,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Jul,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2019 Dec,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Jan,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Feb,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Mar,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Apr,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 May,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Jun,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Jul,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),72
2020 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),36
2020 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2020 Dec,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Jan,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),5040
2021 Feb,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),5020
2021 Mar,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),700
2021 Apr,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),3920
2021 May,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Jun,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),4085
2021 Jul,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),690
2021 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2021 Dec,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Jan,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Feb,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Mar,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Apr,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 May,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Jun,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Jul,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),3
2022 Aug,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),0
2022 Sep,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),32
2022 Oct,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),6114
2022 Nov,Addis Ababa,Etonogestrel - 68mg - Capsule(Subdermal Implant),5202
2017 Sep,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,1
2017 Oct,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,572
2017 Nov,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2017 Dec,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Jan,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Feb,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Mar,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Apr,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 May,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Jun,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Jul,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Aug,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Sep,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Oct,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2018 Nov,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,10
2018 Dec,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,18
2019 Jan,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,13
2019 Feb,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,20
2019 Mar,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,20
2019 Apr,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,4
2019 May,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,4
2019 Jun,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,17
2019 Jul,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2019 Aug,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,9
2019 Sep,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2019 Oct,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,3
2019 Nov,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2019 Dec,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,22
2020 Jan,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,50
2020 Feb,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,40
2020 Mar,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,14
2020 Apr,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,32
2020 May,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,25
2020 Jun,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,2
2020 Jul,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2020 Aug,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,1
2020 Sep,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2020 Oct,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2020 Nov,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2020 Dec,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2021 Jan,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2021 Feb,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2021 Mar,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
2021 Apr,Addis Ababa,Gentamicin - 10mg/ml 2ml - Injection,0
